Type_Test,Code_Langue,Code_Niveau_Email,Code_Profil,Element,Ordre,Contenu / ID_Document
ANCRES,EN,"N1,N2,N3",,Sujet_Email,0,Detailed analysis of your ANCHORS profile
ANCRES,EN,"N1,N2,N3",,Introduction,1,"Hello {{Votre_nom_et_prenom}},"
ANCRES,EN,"N1,N2,N3",,Introduction,2,We are pleased to provide you with the complete analysis of your results.
ANCRES,EN,"N1,N2,N3",,Corps_Texte,15,Profile Synthesis: {{Titre_Profil}};  {{Description_Profil}}
ANCRES,EN,"N1,N2,N3",,Corps_Texte,18,Here is the breakdown of your scores for each dimension assessed:
ANCRES,EN,"N1,N2,N3",,Corps_Texte,19
ANCRES,EN,"N1,N2,N3",,Ligne_Score,20,- {{nom_profil}} : {{score}} / {{total_possible}} points
ANCRES,EN,"N1,N2,N3",,Corps_Texte,31,We remain available for a personalized debriefing of these results.
ANCRES,EN,"N1,N2,N3",,Corps_Texte,40,"Sincerely,"
ANCRES,EN,"N1,N2,N3",,Corps_Texte,41,Your Trainer
ANCRES,EN,"N1,N2,N3",EXPERTISE,Document,110,1JTwgOVPcJvEDweNZfeCU0926Y2HlSfev
ANCRES,EN,"N1,N2,N3",EXPERTISE,Document,111,1v6IQYzp9LKu8mm4fJWCnSMqb20z3fTRF
ANCRES,EN,"N1,N2,N3",MANAGEMENT,Document,110,1-9cAnmyE0Ex7JNUERi-TgujUImPX9ZTd
ANCRES,EN,"N1,N2,N3",MANAGEMENT,Document,111,1IaKex8wGnERuV4zUY5Bgihi3eUdfoMGq
ANCRES,EN,"N1,N2,N3",AUTONOMIE,Document,110,1cdp4VBaPVHsDdJu_YZCFJ_XmYP5vICCw
ANCRES,EN,"N1,N2,N3",AUTONOMIE,Document,111,1agetxFupeHW3byyHJr0bc5lxpax3IuOL
ANCRES,EN,"N1,N2,N3",SECURITE,Document,110,1Zd8wwgOa1i4uV9P4nD635RcXU-rOwXxG
ANCRES,EN,"N1,N2,N3",SECURITE,Document,111,1L8xc0Hwe2cW0n4bb9wrl2J-g_fgbHtSW
ANCRES,EN,"N1,N2,N3",CREATION,Document,110,14jOU9eBJ60vCgOQXz-DQsi6QkyAETvot
ANCRES,EN,"N1,N2,N3",CREATION,Document,111,1hn5vzJYM3e2dQ3tq7S6FtKcd6YLiRAjY
